gen,sid,seed,split,stepping_speed,body_speed_shortfall,foot_sliding,ground_contact_ratio,contact_streak,path_straightness,duration_sec,wants_to_travel,wants_to_stay,intent_unclear,is_mdm,is_motiongpt,is_momask,mm_u000,mm_u025,mm_u050,mm_u075,mm_u100,mm_u125,mm_u150,mm_u200
mdm,000374,20269610,holdout,0.022432,0.013185,0.009602484969124903,0.6987,0.15526,0.9997,7.8,1,0,0,1,0,0,7.0862,5.5673,3.1272,2.3583,2.2483,2.3911,2.6631,3.4552
mdm,000419,20270608,calib,0.00219,-0.00614,0.007872421239622795,1.0,1.0,1.0,9.8,0,0,1,1,0,0,4.7593,4.7782,4.8461,4.8921,4.8649,4.8508,4.8434,4.8164
mdm,000419,20270609,calib,0.001313,-0.007021,0.007992390288851755,1.0,1.0,1.0,9.8,0,0,1,1,0,0,5.3748,5.3457,5.3883,5.396,5.3569,5.3461,5.3748,5.4942
mdm,000419,20270610,calib,0.00171,-0.006624,0.007946417784458256,1.0,1.0,1.0,9.8,0,0,1,1,0,0,4.283,4.1643,4.2151,4.358,4.4787,4.6576,4.818,4.9597
mdm,000486,20271608,holdout,0.002204,-0.006118,0.007757348341800952,1.0,1.0,1.0,9.8,1,0,0,1,0,0,6.2223,6.401,6.5295,6.5765,6.5377,6.4893,6.4282,6.2954
mdm,000486,20271609,holdout,0.003704,-0.004668,0.0037039713928160274,0.5485,0.27423,1.0,9.8,1,0,0,1,0,0,6.8487,7.0531,7.1921,7.243,7.261,7.2615,7.2537,7.2163
mdm,000486,20271610,holdout,0.001218,-0.007101,0.008054478098480448,1.0,1.0,1.0,9.8,1,0,0,1,0,0,7.0712,7.2261,7.3266,7.3455,7.2793,7.1999,7.1094,6.893
mdm,000629,20272608,holdout,0.059351,0.04864,0.02582526017745573,0.6301,0.0525,0.9974,9.8,1,0,0,1,0,0,7.6519,7.3332,6.7947,6.2606,5.7507,5.3703,5.1672,5.0079
mdm,000629,20272609,holdout,0.042254,0.032215,0.016637942650786188,0.6735,0.06413,0.9975,9.8,1,0,0,1,0,0,8.1382,7.208,6.6413,6.0473,5.3167,4.5609,3.9296,3.1047
mdm,000629,20272610,holdout,0.03662,0.026755,0.010928112571289188,0.625,0.07811,0.9977,9.8,1,0,0,1,0,0,8.5194,8.0628,7.7022,7.5227,7.4308,7.3314,7.2103,6.8512
mdm,000633,20273608,calib,0.000828,-0.007511,0.007905713559461503,1.0,1.0,1.0,9.8,0,1,0,1,0,0,4.2729,4.1664,4.0468,3.9401,3.8338,3.6979,3.5354,3.1893
mdm,000633,20273609,calib,0.00084,-0.007497,0.007882815729147483,1.0,1.0,1.0,9.8,0,1,0,1,0,0,4.1296,4.1467,4.1703,4.1712,4.1185,4.0556,4.0174,4.0813
mdm,000633,20273610,calib,0.000482,-0.007852,0.007972283756818096,1.0,1.0,1.0,9.8,0,1,0,1,0,0,3.3339,3.3766,3.4785,3.5577,3.4589,3.3519,3.2717,3.242
mdm,000680,20274608,calib,0.000588,-0.007738,0.00804366660190961,1.0,1.0,1.0,9.8,0,0,1,1,0,0,3.1375,2.7959,2.5388,2.3738,2.201,2.1183,2.0883,2.2375
mdm,000680,20274609,calib,0.000649,-0.007675,0.007897057611531215,1.0,1.0,1.0,9.8,0,0,1,1,0,0,2.6244,2.2961,2.0659,1.9467,1.8657,1.8543,1.8992,2.0872
mdm,000680,20274610,calib,0.001236,-0.007094,0.007988994579689143,1.0,1.0,1.0,9.8,0,0,1,1,0,0,2.6296,2.3899,2.1845,2.0721,2.1176,2.239,2.3567,2.5594
mdm,000687,20275608,calib,0.079565,0.06842,0.01647839014472925,0.2768,0.11071,0.9998,2.8,1,0,0,1,0,0,6.9749,6.9272,6.7554,6.5307,6.2793,6.1026,6.0832,6.1014
mdm,000687,20275609,calib,0.070689,0.059472,0.027969173598052142,0.5893,0.11786,0.9991,2.8,1,0,0,1,0,0,7.9129,7.7743,7.459,7.0321,6.6281,6.3735,6.1863,5.7821
mdm,000687,20275610,calib,0.068468,0.058657,0.00567189971286889,0.0982,0.19643,0.9999,2.8,1,0,0,1,0,0,7.3803,6.8708,6.3892,6.1289,5.9665,6.0019,6.2132,6.3911
mdm,000710,20276608,holdout,0.036042,0.026612,0.01227737868529933,0.7311,0.14621,0.9999,6.6,1,0,0,1,0,0,6.0527,5.766,5.419,5.0057,4.5629,4.2933,4.1415,3.9823
mdm,000710,20276609,holdout,0.017842,0.008949,0.004461849408512559,0.5758,0.14394,0.9995,6.6,1,0,0,1,0,0,6.6605,6.5413,6.4005,6.2808,6.0981,5.8826,5.6805,5.4106
mdm,000710,20276610,holdout,0.027762,0.018473,0.006279807790888143,0.6326,0.12652,0.9996,6.6,1,0,0,1,0,0,4.3061,4.5549,4.7953,4.8416,4.6988,4.4546,4.1025,3.2352
