gen,sid,seed,foot_skate,path_gain_AFTER_ACTION,mm_orig,mm_corr,dmm,split
mdm,001347,20286609,0.021003,2.2926,6.603,5.108,-1.495,calib
mdm,001347,20286610,0.012316,1.9733,3.0593,3.6282,0.5689,calib
mdm,001349,20287608,0.005163,0.2591,4.5398,4.8579,0.3181,calib
mdm,001349,20287609,0.008104,0.2701,3.2983,3.5917,0.2933,calib
mdm,001349,20287610,0.004852,0.1,4.2172,4.5932,0.376,calib
mdm,001614,20288608,0.009053,3.0393,5.9624,2.0943,-3.8681,holdout
mdm,001614,20288609,0.005745,2.6234,6.8235,3.7589,-3.0646,holdout
mdm,001614,20288610,0.007167,2.5907,5.5333,2.962,-2.5712,holdout
mdm,001617,20289608,0.017605,4.0712,5.6467,3.8574,-1.7893,holdout
mdm,001617,20289609,0.023964,4.6718,5.1728,4.3112,-0.8616,holdout
mdm,001617,20289610,0.019808,5.2461,5.4135,3.1991,-2.2145,holdout
mdm,001723,20290608,0.018433,5.5997,6.9259,6.8838,-0.0421,calib
mdm,001723,20290609,0.034025,7.061,7.0441,5.853,-1.1911,calib
mdm,001723,20290610,0.015028,6.9852,7.6257,7.6839,0.0583,calib
mdm,001759,20291608,0.010156,1.1753,4.7142,4.6034,-0.1108,holdout
mdm,001759,20291609,0.007791,2.2697,5.8944,5.8322,-0.0622,holdout
mdm,001759,20291610,0.007938,0.2401,5.2012,4.9989,-0.2023,holdout
mdm,001801,20292608,0.008477,0.5146,7.8353,8.0829,0.2476,holdout
mdm,001801,20292609,0.009854,0.57,7.6664,8.0331,0.3667,holdout
mdm,001801,20292610,0.008187,0.5234,6.8916,7.2208,0.3292,holdout
mdm,001808,20293608,0.007618,0.0297,2.8149,2.2698,-0.5451,holdout
mdm,001808,20293609,0.008175,0.451,3.5533,2.1337,-1.4197,holdout
mdm,001808,20293610,0.011127,0.7961,4.0189,4.4211,0.4022,holdout
mdm,001888,20294608,0.006445,2.8704,4.2711,4.0431,-0.228,holdout
mdm,001888,20294609,0.005471,3.9276,3.9213,3.7087,-0.2127,holdout
mdm,001888,20294610,0.004174,3.768,4.0505,4.0777,0.0272,holdout
mdm,001976,20295608,0.01716,3.6451,8.2441,6.5484,-1.6957,holdout
mdm,001976,20295609,0.020902,4.7673,8.3956,6.5664,-1.8292,holdout
mdm,001976,20295610,0.016404,4.1711,8.362,6.5914,-1.7706,holdout
mdm,002009,20296608,0.009355,0.3205,8.9881,9.3811,0.393,calib
mdm,002009,20296609,0.00741,0.1216,2.3865,2.5077,0.1212,calib
mdm,002009,20296610,0.008192,0.0943,2.8721,3.1604,0.2883,calib
mdm,002171,20297608,0.008322,0.4693,2.0953,2.175,0.0796,calib
mdm,002171,20297609,0.007635,0.8561,1.6631,1.8838,0.2206,calib
mdm,002171,20297610,0.006522,0.1937,2.1795,2.3648,0.1853,calib
mdm,002192,20298608,0.011965,1.5017,5.83,4.1785,-1.6515,holdout
mdm,002192,20298609,0.011806,1.626,6.0611,5.2817,-0.7794,holdout
mdm,002192,20298610,0.011101,1.2937,6.0003,5.2116,-0.7887,holdout
mdm,002235,20299608,0.004673,2.3066,2.6926,3.0147,0.322,calib
mdm,002235,20299609,0.006292,1.9377,2.3347,2.5337,0.1991,calib
mdm,002235,20299610,0.007401,1.5443,2.9813,3.1248,0.1435,calib
mdm,002357,20300608,0.005946,2.4826,4.6412,4.4759,-0.1653,calib
mdm,002357,20300609,0.01338,3.848,8.1557,5.7794,-2.3763,calib
mdm,002357,20300610,0.004894,3.2881,4.8781,4.5669,-0.3112,calib
mdm,002459,20301608,0.006964,0.0755,1.8779,1.9662,0.0882,calib
mdm,002459,20301609,0.008678,0.3937,2.8539,3.1621,0.3082,calib
mdm,002459,20301610,0.007469,0.2274,1.8334,1.9429,0.1094,calib
mdm,002471,20302608,0.011091,2.2227,1.8865,1.2492,-0.6373,calib
mdm,002471,20302609,0.010839,2.1289,1.457,1.1129,-0.3441,calib
