gen,sid,seed,foot_skate,gait_implied_speed,root_speed_actual,root_gait_mismatch,mismatch_ratio,contact_run_mean,contact_fraction,path_length,straightness,locomotion_intent,n_frames
mdm,010618,20491609,0.007532941002177592,0.016219,0.008363,0.007856,1.939,20.17,0.6576,0.7611,0.9992,ambiguous,92
mdm,010618,20491610,0.012020056033196488,0.015039,0.008415,0.006625,1.787,92.0,1.0,0.7657,0.9987,ambiguous,92
mdm,010784,20492608,0.008026235250560848,0.00805,0.008468,-0.000419,0.951,84.0,1.0,0.7029,0.9999,ambiguous,84
mdm,010784,20492609,0.00844077342890737,0.004429,0.008354,-0.003925,0.53,84.0,1.0,0.6934,1.0,ambiguous,84
mdm,010784,20492610,0.008598510295741163,0.008804,0.008303,0.000501,1.06,84.0,1.0,0.6891,0.9999,ambiguous,84
mdm,010843,20493608,0.006027003788342965,0.008525,0.008499,2.7e-05,1.003,65.8,0.8393,1.6572,0.9997,in_place,196
mdm,010843,20493609,0.007873885353550592,0.010207,0.008241,0.001966,1.239,76.25,0.7781,1.6071,0.9992,in_place,196
mdm,010843,20493610,0.002278743586738592,0.007755,0.008512,-0.000758,0.911,48.25,0.4923,1.6599,0.9998,in_place,196
mdm,010938,20494608,0.008136437415159663,0.001548,0.008333,-0.006786,0.186,176.0,1.0,1.4583,1.0,ambiguous,176
mdm,010938,20494609,0.007622833840978776,0.001991,0.008332,-0.00634,0.239,176.0,1.0,1.458,1.0,ambiguous,176
mdm,010938,20494610,0.008155528970280655,0.000965,0.008332,-0.007367,0.116,176.0,1.0,1.4582,1.0,ambiguous,176
mdm,010945,20495608,0.014240619263926163,0.030601,0.009048,0.021553,3.382,20.6,0.8583,1.0767,0.9995,locomotion,120
mdm,010945,20495609,0.014422122394448834,0.031555,0.008887,0.022668,3.551,15.92,0.7958,1.0576,0.9997,locomotion,120
mdm,010945,20495610,0.015490612561866055,0.035378,0.008793,0.026585,4.024,16.33,0.8167,1.0463,0.9994,locomotion,120
mdm,010956,20496608,0.008187776155336507,0.001827,0.008311,-0.006484,0.22,196.0,1.0,1.6206,1.0,ambiguous,196
mdm,010956,20496609,0.00835190629414168,0.003019,0.008345,-0.005327,0.362,196.0,1.0,1.6273,0.9998,ambiguous,196
mdm,010956,20496610,0.007299078586680557,0.001219,0.008304,-0.007085,0.147,196.0,1.0,1.6193,1.0,ambiguous,196
mdm,011046,20497608,0.007192636052086874,0.038531,0.007396,0.031135,5.21,12.0,0.2449,1.4422,0.9988,locomotion,196
mdm,011046,20497609,0.007870797225276881,0.029752,0.007275,0.022476,4.089,17.0,0.2602,1.4187,0.9986,locomotion,196
mdm,011046,20497610,0.006718142933840961,0.029941,0.007592,0.022348,3.943,17.0,0.2602,1.4805,0.9987,locomotion,196
mdm,011101,20498608,0.006324990649131701,0.01296,0.008332,0.004629,1.556,53.33,0.8333,0.7915,0.9996,ambiguous,96
mdm,011101,20498609,0.014224116168449963,0.024746,0.00842,0.016326,2.939,31.4,0.8177,0.7999,0.9993,ambiguous,96
mdm,011101,20498610,0.009664500476271971,0.012103,0.008341,0.003762,1.451,38.5,0.8021,0.7924,0.9993,ambiguous,96
mdm,011223,20499608,0.008216235286103376,0.00269,0.008329,-0.005639,0.323,156.0,1.0,1.291,1.0,ambiguous,156
mdm,011223,20499609,0.007076729429425308,0.001233,0.008325,-0.007092,0.148,156.0,1.0,1.2904,1.0,ambiguous,156
mdm,011223,20499610,0.007871124901507862,0.002526,0.008351,-0.005825,0.302,156.0,1.0,1.2944,1.0,ambiguous,156
mdm,011284,20500608,0.007164715251036005,0.00634,0.008469,-0.002129,0.749,91.33,0.9786,1.1772,0.9997,locomotion,140
mdm,011284,20500609,0.008338276952213865,0.016726,0.008696,0.008029,1.923,42.5,0.9107,1.2088,0.9995,locomotion,140
mdm,011284,20500610,0.01156586027931551,0.018596,0.008322,0.010274,2.235,30.38,0.8679,1.1568,0.9988,locomotion,140
mdm,011340,20501608,0.0074233520720240745,0.002779,0.008402,-0.005623,0.331,34.25,0.9514,0.5965,0.9999,in_place,72
mdm,011340,20501609,0.011299478191782867,0.013763,0.008852,0.004911,1.555,27.4,0.9514,0.6285,0.9998,in_place,72
mdm,011340,20501610,0.01160118497857818,0.024067,0.008592,0.015476,2.801,19.67,0.8194,0.61,0.9995,in_place,72
mdm,011397,20502608,0.019047859170312348,0.052433,0.010074,0.042358,5.205,8.95,0.6655,1.4809,0.9967,locomotion,148
mdm,011397,20502609,0.021398424009295473,0.050249,0.009941,0.040307,5.055,9.61,0.7466,1.4614,0.9958,locomotion,148
mdm,011397,20502610,0.017043846229959827,0.039235,0.009613,0.029622,4.081,11.79,0.7568,1.4132,0.9958,locomotion,148
mdm,011402,20503608,0.01958715663687182,0.059941,0.010494,0.049447,5.712,7.71,0.551,2.0463,0.9917,locomotion,196
mdm,011402,20503609,0.02163127384538904,0.051535,0.010087,0.041448,5.109,9.43,0.7219,1.9669,0.9956,locomotion,196
mdm,011402,20503610,0.019068079049105804,0.048688,0.009944,0.038743,4.896,9.78,0.6735,1.9392,0.993,locomotion,196
mdm,011643,20504608,0.007734172397202517,0.013326,0.008372,0.004955,1.592,7.57,0.6625,0.9962,0.9999,ambiguous,120
mdm,011643,20504609,0.008537257264223152,0.013787,0.00837,0.005417,1.647,9.63,0.7625,0.9961,0.9999,ambiguous,120
mdm,011643,20504610,0.007531542203906891,0.011627,0.008331,0.003296,1.396,7.7,0.6417,0.9914,0.9999,ambiguous,120
mdm,011731,20505608,0.009083526602765322,0.002132,0.008289,-0.006157,0.257,196.0,1.0,1.6163,1.0,ambiguous,196
mdm,011731,20505609,0.008021614352187784,0.000417,0.008326,-0.007909,0.05,196.0,1.0,1.6235,1.0,ambiguous,196
mdm,011731,20505610,0.00812762650911656,0.000385,0.008324,-0.007939,0.046,196.0,1.0,1.6232,1.0,ambiguous,196
mdm,011743,20506608,0.008459972036677805,0.002748,0.008336,-0.005588,0.33,196.0,1.0,1.6255,0.9996,ambiguous,196
mdm,011743,20506609,0.008135178618672616,0.002504,0.008321,-0.005817,0.301,196.0,1.0,1.6226,1.0,ambiguous,196
mdm,011743,20506610,0.02707832549881218,0.03812,0.008051,0.030068,4.734,54.86,0.9796,1.57,0.9826,ambiguous,196
mdm,011797,20507608,0.0050081140917335905,0.011776,0.008314,0.003462,1.416,6.77,0.3801,1.6212,0.9995,ambiguous,196
mdm,011797,20507609,0.007697565303548847,0.017407,0.008166,0.009241,2.132,5.38,0.5485,1.5923,0.9998,ambiguous,196
mdm,011797,20507610,0.0059091584205331945,0.010134,0.008442,0.001692,1.2,9.79,0.4745,1.6461,0.9997,ambiguous,196
mdm,011805,20508608,0.015538360836797053,0.027772,0.009866,0.017905,2.815,14.5,0.8239,0.8584,0.9998,locomotion,88
mdm,011805,20508609,0.01824969944809866,0.031839,0.009839,0.022,3.236,18.75,0.8523,0.856,0.9998,locomotion,88
mdm,011805,20508610,0.01503763748990528,0.027449,0.009669,0.01778,2.839,16.22,0.8295,0.8412,0.9998,locomotion,88
mdm,011806,20509608,0.01764248862271845,0.030249,0.009481,0.020768,3.19,16.79,0.8393,1.3179,0.9997,locomotion,140
mdm,011806,20509609,0.01458414204932959,0.024294,0.009306,0.014988,2.611,18.15,0.8429,1.2935,0.9998,locomotion,140
mdm,011806,20509610,0.015018635005293973,0.020343,0.009121,0.011222,2.23,25.5,0.9107,1.2679,0.9999,locomotion,140
mdm,011823,20510608,0.008232288316018539,0.003898,0.008328,-0.004429,0.468,196.0,1.0,1.6239,0.9999,ambiguous,196
mdm,011823,20510609,0.00801637597631789,0.002266,0.008326,-0.00606,0.272,196.0,1.0,1.6235,0.9999,ambiguous,196
mdm,011823,20510610,0.008534347196262863,0.003269,0.008314,-0.005046,0.393,196.0,1.0,1.6213,0.9999,ambiguous,196
mdm,011864,20511608,0.007686577020132143,0.001364,0.008345,-0.006981,0.163,108.0,1.0,0.8929,1.0,in_place,108
mdm,011864,20511609,0.007572636812771698,0.001784,0.008367,-0.006583,0.213,108.0,1.0,0.8953,1.0,in_place,108
mdm,011864,20511610,0.007910258230653992,0.001249,0.008354,-0.007105,0.149,108.0,1.0,0.8939,1.0,in_place,108
mdm,012219,20512608,0.010223533424815884,0.012464,0.008883,0.003581,1.403,46.12,0.9413,1.7322,0.9999,ambiguous,196
mdm,012219,20512609,0.008796953847190267,0.016638,0.008831,0.007807,1.884,46.0,0.9388,1.722,0.9995,ambiguous,196
mdm,012219,20512610,0.00678613339784973,0.00518,0.008529,-0.003349,0.607,62.83,0.9617,1.6632,0.9999,ambiguous,196
mdm,012290,20513608,0.002650894951843125,0.013227,0.008791,0.004436,1.505,22.67,0.2361,1.2571,0.9995,locomotion,144
mdm,012290,20513609,0.003630907905148505,0.01622,0.008882,0.007337,1.826,25.33,0.2639,1.2701,0.9992,locomotion,144
mdm,012290,20513610,0.004921102466433563,0.023492,0.008837,0.014655,2.658,17.8,0.309,1.2637,0.9994,locomotion,144
mdm,012355,20514608,0.007851993805345443,0.001531,0.008334,-0.006803,0.184,164.0,1.0,1.3584,1.0,ambiguous,164
mdm,012355,20514609,0.007670157567004359,0.000955,0.008324,-0.007369,0.115,164.0,1.0,1.3568,1.0,ambiguous,164
mdm,012355,20514610,0.008217334029878913,0.00073,0.008324,-0.007594,0.088,164.0,1.0,1.3568,1.0,ambiguous,164
mdm,012388,20515608,0.0020589996616455115,0.027158,0.008669,0.018489,3.133,18.0,0.1378,1.6905,0.9967,locomotion,196
mdm,012388,20515609,0.0028973272863620737,0.03469,0.008584,0.026105,4.041,23.5,0.1199,1.674,0.9994,locomotion,196
mdm,012388,20515610,0.0010270105357420567,0.007765,0.008382,-0.000618,0.926,26.0,0.1327,1.6346,0.9997,locomotion,196
mdm,012400,20516608,0.007289061319215314,0.001141,0.00835,-0.007209,0.137,196.0,1.0,1.6282,1.0,ambiguous,196
mdm,012400,20516609,0.006631461822746842,0.00208,0.008311,-0.006231,0.25,196.0,1.0,1.6207,1.0,ambiguous,196
mdm,012400,20516610,0.008981954337267978,0.004948,0.008223,-0.003275,0.602,192.5,0.9821,1.6035,0.9999,ambiguous,196
mdm,012423,20517608,0.008929494264426102,0.004457,0.008409,-0.003952,0.53,196.0,1.0,1.6398,0.9998,in_place,196
mdm,012423,20517609,0.008018816997935595,0.000534,0.008324,-0.007789,0.064,196.0,1.0,1.6231,1.0,in_place,196
mdm,012423,20517610,0.007915981364631517,0.000678,0.008325,-0.007647,0.081,196.0,1.0,1.6234,1.0,in_place,196
mdm,012492,20518608,0.00793219448328785,0.00032,0.008332,-0.008012,0.038,160.0,1.0,1.3248,1.0,in_place,160
mdm,012492,20518609,0.00826893014122073,0.000329,0.008316,-0.007986,0.04,160.0,1.0,1.3222,1.0,in_place,160
mdm,012492,20518610,0.00796741865499627,0.000375,0.00832,-0.007945,0.045,160.0,1.0,1.3229,1.0,in_place,160
mdm,012495,20519608,0.020106075016094287,0.075931,0.01104,0.064891,6.878,7.9,0.4489,0.9604,0.9998,locomotion,88
mdm,012495,20519609,0.013375203625669135,0.039339,0.010591,0.028747,3.714,9.8,0.5568,0.9215,0.9995,locomotion,88
mdm,012495,20519610,0.042686530893917767,0.096335,0.011701,0.084634,8.233,5.74,0.6193,1.018,1.0,locomotion,88
mdm,012579,20520608,0.0058436909053540985,0.002381,0.008374,-0.005993,0.284,113.0,0.9855,1.432,0.9999,ambiguous,172
mdm,012579,20520609,0.008060567980608883,0.003127,0.008387,-0.005259,0.373,172.0,1.0,1.4341,0.9999,ambiguous,172
mdm,012579,20520610,0.007581167188763938,0.003045,0.008366,-0.005321,0.364,172.0,1.0,1.4306,0.9998,ambiguous,172
mdm,012595,20521608,0.015388602504908432,0.043192,0.006593,0.036599,6.551,10.5,0.4861,0.7054,0.9983,locomotion,108
mdm,012595,20521609,0.0068406137741739825,0.018335,0.007412,0.010923,2.474,20.86,0.6759,0.7931,0.9993,locomotion,108
mdm,012595,20521610,0.004883539859191751,0.013782,0.006819,0.006963,2.021,18.5,0.3426,0.7297,0.9989,locomotion,108
mdm,012668,20522608,0.005606483236108735,0.004261,0.008241,-0.00398,0.517,70.4,0.898,1.607,0.9996,in_place,196
mdm,012668,20522609,0.007048631622667736,0.008581,0.008193,0.000388,1.047,74.2,0.9464,1.5976,0.9996,in_place,196
mdm,012668,20522610,0.006384087427890636,0.005814,0.00826,-0.002446,0.704,72.4,0.9235,1.6107,0.9997,in_place,196
mdm,012675,20523608,0.018932966096172236,0.045456,0.009805,0.035651,4.636,9.79,0.7245,1.9119,0.9987,locomotion,196
mdm,012675,20523609,0.015987945272254722,0.033233,0.009482,0.02375,3.505,14.33,0.7679,1.849,0.9976,locomotion,196
mdm,012675,20523610,0.02181627535554691,0.046316,0.009892,0.036424,4.682,11.96,0.7934,1.929,0.9992,locomotion,196
mdm,012691,20524608,0.004927279793692656,0.013611,0.008792,0.004819,1.548,23.67,0.4226,0.7298,0.9986,ambiguous,84
mdm,012691,20524609,0.003186529090292397,0.007811,0.009117,-0.001306,0.857,30.0,0.3571,0.7567,0.9999,ambiguous,84
mdm,012691,20524610,0.004858418749596525,0.0169,0.00866,0.008239,1.951,20.0,0.3571,0.7188,0.9981,ambiguous,84
mdm,012903,20525608,0.00656023961009285,0.001844,0.008352,-0.006508,0.221,80.0,1.0,0.6598,1.0,in_place,80
mdm,012903,20525609,0.007858818809850883,0.001628,0.008348,-0.00672,0.195,80.0,1.0,0.6595,1.0,in_place,80
mdm,012903,20525610,0.004271463763347193,0.001166,0.008349,-0.007184,0.14,37.0,0.6937,0.6596,1.0,in_place,80
mdm,012956,20526608,0.004959870237480432,0.002374,0.008349,-0.005975,0.284,194.5,0.9923,1.6281,0.9997,ambiguous,196
mdm,012956,20526609,0.008298534792997903,0.002625,0.008361,-0.005735,0.314,196.0,1.0,1.6303,0.9999,ambiguous,196
mdm,012956,20526610,0.007701830298395868,0.002295,0.008346,-0.006052,0.275,196.0,1.0,1.6276,0.9999,ambiguous,196
mdm,012981,20527608,0.007243123055471585,0.002345,0.008359,-0.006014,0.281,184.0,1.0,1.5297,1.0,ambiguous,184
mdm,012981,20527609,0.0067847383491085244,0.002117,0.008368,-0.006251,0.253,184.0,1.0,1.5314,1.0,ambiguous,184
mdm,012981,20527610,0.008060690565530762,0.002523,0.008336,-0.005814,0.303,184.0,1.0,1.5255,1.0,ambiguous,184
mdm,012985,20528608,0.0024814889053081683,0.007993,0.007471,0.000523,1.07,30.25,0.3781,1.1878,0.9997,locomotion,160
mdm,012985,20528609,0.010100087398907522,0.010316,0.00801,0.002306,1.288,51.17,0.9594,1.2736,0.9996,locomotion,160
mdm,012985,20528610,0.011129294800547147,0.024092,0.007302,0.01679,3.3,14.14,0.6188,1.161,0.9995,locomotion,160
mdm,013000,20529608,0.012925959733248248,0.017239,0.008342,0.008897,2.067,21.6,0.8438,0.5255,0.9946,ambiguous,64
mdm,013000,20529609,0.008171558296434869,0.011103,0.008272,0.002831,1.342,29.25,0.9141,0.5211,0.997,ambiguous,64
mdm,013000,20529610,0.009303969263694544,0.008625,0.008271,0.000355,1.043,29.25,0.9141,0.5211,0.9979,ambiguous,64
mdm,013004,20530608,0.017085670680912282,0.017567,0.008292,0.009275,2.119,112.0,1.0,0.9204,0.9986,ambiguous,112
mdm,013004,20530609,0.013632671071928955,0.016646,0.008274,0.008372,2.012,112.0,1.0,0.9184,0.9978,ambiguous,112
mdm,013004,20530610,0.011766206918557136,0.016525,0.008298,0.008227,1.991,70.0,0.9375,0.9211,0.9965,ambiguous,112
mdm,013112,20531608,0.007862669547613218,0.002094,0.008345,-0.006252,0.251,180.0,1.0,1.4938,0.9999,ambiguous,180
mdm,013112,20531609,0.008097985578303745,0.004302,0.008338,-0.004036,0.516,180.0,1.0,1.4925,0.9998,ambiguous,180
mdm,013112,20531610,0.007845751630639579,0.001597,0.008339,-0.006742,0.192,180.0,1.0,1.4926,1.0,ambiguous,180
mdm,013130,20532608,0.0325385790381451,0.081197,0.011743,0.069454,6.914,8.36,0.6094,1.1156,0.9998,locomotion,96
mdm,013130,20532609,0.030828530106091063,0.089874,0.012362,0.077513,7.27,5.62,0.4688,1.1744,0.9989,locomotion,96
mdm,013130,20532610,0.035189701428074385,0.081992,0.011416,0.070576,7.182,6.47,0.5729,1.0845,0.9998,locomotion,96
mdm,013174,20533608,0.022480742380974562,0.076639,0.011257,0.065382,6.808,8.04,0.5536,2.1951,0.9997,locomotion,196
mdm,013174,20533609,0.027089973390342487,0.060435,0.01063,0.049805,5.685,10.81,0.7168,2.0728,0.9997,locomotion,196
mdm,013174,20533610,0.020220803529680875,0.043365,0.009938,0.033427,4.363,13.08,0.801,1.938,0.9996,locomotion,196
mdm,013190,20534608,0.015521248472931022,0.027499,0.010095,0.017404,2.724,13.0,0.7772,0.9186,0.9995,locomotion,92
mdm,013190,20534609,0.017570567976055582,0.037192,0.010289,0.026903,3.615,10.31,0.7283,0.9363,0.9883,locomotion,92
mdm,013190,20534610,0.01481836280823455,0.031107,0.010107,0.021,3.078,17.5,0.7609,0.9197,0.9996,locomotion,92
mdm,013208,20535608,0.007628857263936688,0.010879,0.008549,0.00233,1.272,53.14,0.949,1.6671,0.9998,locomotion,196
mdm,013208,20535609,0.008753633597133846,0.013803,0.008562,0.005241,1.612,62.67,0.9592,1.6696,0.9992,locomotion,196
mdm,013208,20535610,0.008160120052252435,0.010301,0.008482,0.00182,1.215,43.62,0.8903,1.6539,0.9996,locomotion,196
mdm,013222,20536608,0.018947409172156395,0.049834,0.011103,0.038731,4.488,11.16,0.5408,2.165,0.9995,ambiguous,196
mdm,013222,20536609,0.015417362801879164,0.029763,0.010253,0.01951,2.903,15.11,0.7321,1.9993,0.9998,ambiguous,196
mdm,013222,20536610,0.011780919553897007,0.017729,0.009592,0.008137,1.848,20.47,0.7832,1.8704,0.9997,ambiguous,196
mdm,013253,20537608,0.005354817354731893,0.010201,0.008294,0.001907,1.23,40.2,0.5128,1.6174,1.0,ambiguous,196
mdm,013253,20537609,0.005288043996154847,0.008544,0.008361,0.000183,1.022,47.0,0.8393,1.6304,1.0,ambiguous,196
mdm,013253,20537610,0.004816690975516558,0.009816,0.008293,0.001523,1.184,19.08,0.6327,1.6171,0.9999,ambiguous,196
mdm,013419,20538608,0.004686347461662855,0.005748,0.008355,-0.002606,0.688,34.67,0.5417,0.7937,0.9997,ambiguous,96
mdm,013419,20538609,0.003724829911203408,0.012694,0.008722,0.003972,1.455,9.44,0.4427,0.8286,0.9997,ambiguous,96
mdm,013419,20538610,0.006884901002076616,0.010685,0.00831,0.002375,1.286,9.36,0.5365,0.7895,0.9998,ambiguous,96
mdm,013444,20539608,0.007586314197461981,0.001025,0.008308,-0.007283,0.123,196.0,1.0,1.6201,1.0,ambiguous,196
mdm,013444,20539609,0.007647151549215544,0.001275,0.008313,-0.007038,0.153,196.0,1.0,1.621,1.0,ambiguous,196
mdm,013444,20539610,0.007080906489301215,0.00108,0.008312,-0.007232,0.13,196.0,1.0,1.6208,1.0,ambiguous,196
mdm,013549,20540608,0.007385417089557111,0.001288,0.008359,-0.007072,0.154,136.0,1.0,1.1285,1.0,ambiguous,136
mdm,013549,20540609,0.007998281241547852,0.000508,0.008378,-0.007871,0.061,136.0,1.0,1.1311,1.0,ambiguous,136
mdm,013549,20540610,0.004124500168698389,0.001039,0.008362,-0.007323,0.124,66.0,0.7279,1.1288,1.0,ambiguous,136
mdm,013558,20541608,0.010049462685398606,0.024541,0.009177,0.015364,2.674,23.9,0.8536,1.2756,0.9998,locomotion,140
mdm,013558,20541609,0.017713442348648585,0.039087,0.009542,0.029546,4.096,19.83,0.85,1.3263,0.9996,locomotion,140
mdm,013558,20541610,0.004279562372823173,0.019955,0.008921,0.011034,2.237,28.6,0.5107,1.24,0.9998,locomotion,140
mdm,013573,20542608,0.02399184253548865,0.058184,0.010205,0.047979,5.702,8.0,0.6857,1.4184,0.9953,locomotion,140
mdm,013573,20542609,0.0187867051773322,0.049521,0.009997,0.039523,4.953,10.88,0.6607,1.3896,0.9959,locomotion,140
mdm,013573,20542610,0.018307443431109783,0.049723,0.010006,0.039716,4.969,9.14,0.6857,1.3909,0.9962,locomotion,140
mdm,013608,20543608,0.007090573257872044,0.001808,0.008346,-0.006538,0.217,60.0,1.0,0.4924,1.0,ambiguous,60
mdm,013608,20543609,0.006800441570906347,0.001886,0.008344,-0.006458,0.226,60.0,1.0,0.4923,1.0,ambiguous,60
mdm,013608,20543610,0.00784447133619745,0.001368,0.008377,-0.007009,0.163,60.0,1.0,0.4942,1.0,ambiguous,60
mdm,013675,20544608,0.0076528013780283195,0.001748,0.008321,-0.006574,0.21,196.0,1.0,1.6227,1.0,ambiguous,196
mdm,013675,20544609,0.007897877150331684,0.001726,0.008331,-0.006605,0.207,196.0,1.0,1.6246,1.0,ambiguous,196
mdm,013675,20544610,0.008188502186132207,0.001796,0.008333,-0.006537,0.216,196.0,1.0,1.625,1.0,ambiguous,196
mdm,013806,20545608,0.01770111749123094,0.041252,0.009757,0.031495,4.228,12.91,0.7245,1.9026,0.9966,locomotion,196
mdm,013806,20545609,0.012955598615156196,0.039109,0.009877,0.029231,3.959,14.0,0.6786,1.9261,0.9978,locomotion,196
mdm,013806,20545610,0.017748137570355264,0.058168,0.010567,0.047601,5.505,8.56,0.5893,2.0605,0.9983,locomotion,196
mdm,013949,20546608,0.007040342268962642,0.001436,0.008352,-0.006916,0.172,80.0,1.0,0.6598,1.0,ambiguous,80
mdm,013949,20546609,0.006419969417469695,0.00196,0.008339,-0.006379,0.235,80.0,1.0,0.6588,1.0,ambiguous,80
mdm,013949,20546610,0.007410537019156894,0.001911,0.008362,-0.006451,0.229,80.0,1.0,0.6606,1.0,ambiguous,80
mdm,014002,20547608,0.009921850318541703,0.008376,0.008329,4.7e-05,1.006,196.0,1.0,1.6242,0.9995,ambiguous,196
mdm,014002,20547609,0.009238084690907193,0.008177,0.008306,-0.000128,0.985,97.25,0.9923,1.6196,0.9999,ambiguous,196
mdm,014002,20547610,0.01004060973549747,0.00846,0.00831,0.00015,1.018,196.0,1.0,1.6205,0.9998,ambiguous,196
mdm,014087,20548608,0.005132491936474794,0.02482,0.008804,0.016016,2.819,24.6,0.3138,1.7167,0.9999,locomotion,196
mdm,014087,20548609,0.00247343343587756,0.020514,0.008728,0.011786,2.35,26.0,0.199,1.702,0.9998,locomotion,196
mdm,014087,20548610,0.0033278232067399604,0.009404,0.009158,0.000245,1.027,30.14,0.5383,1.7859,0.9999,locomotion,196
mdm,014171,20549608,0.021543578847384223,0.044364,0.009861,0.034503,4.499,15.5,0.7908,1.9229,0.9964,locomotion,196
mdm,014171,20549609,0.022190005174212952,0.054026,0.010649,0.043377,5.073,9.63,0.6633,2.0766,0.9976,locomotion,196
mdm,014171,20549610,0.02288693375676971,0.050958,0.010117,0.04084,5.037,11.04,0.7602,1.9729,0.9975,locomotion,196
mdm,014192,20550608,0.02727014179341441,0.059479,0.01044,0.049039,5.697,9.0,0.7125,1.2424,0.9992,locomotion,120
mdm,014192,20550609,0.019770888788897767,0.054388,0.010048,0.04434,5.413,10.2,0.6375,1.1957,0.9971,locomotion,120
mdm,014192,20550610,0.02443367002803843,0.059101,0.01031,0.048791,5.732,7.76,0.6792,1.2269,0.9998,locomotion,120
mdm,014222,20551608,0.009250701920616106,0.008302,0.00847,-0.000168,0.98,68.5,0.9786,1.1774,0.9982,locomotion,140
mdm,014222,20551609,0.013163508837597336,0.02642,0.009039,0.017381,2.923,35.0,0.875,1.2565,0.998,locomotion,140
mdm,014222,20551610,0.019076271986241896,0.037768,0.009355,0.028413,4.037,33.25,0.95,1.3004,0.9971,locomotion,140
mdm,014252,20552608,0.00946649679118822,0.018493,0.008902,0.009591,2.077,28.75,0.8984,1.7002,0.9995,locomotion,192
mdm,014252,20552609,0.004535951413749874,0.018288,0.009108,0.009179,2.008,19.73,0.5651,1.7397,0.9997,locomotion,192
mdm,014252,20552610,0.005095826589905098,0.010518,0.008851,0.001667,1.188,26.44,0.6198,1.6906,0.9999,locomotion,192
mdm,014326,20553608,0.011041905367207176,0.016267,0.00877,0.007497,1.855,54.0,0.8265,1.7102,0.9987,ambiguous,196
mdm,014326,20553609,0.014360039392447675,0.028864,0.008021,0.020844,3.599,24.92,0.7628,1.564,0.9989,ambiguous,196
mdm,014326,20553610,0.00862817694387286,0.013925,0.008668,0.005257,1.607,34.89,0.801,1.6902,0.9986,ambiguous,196
mdm,014347,20554608,0.007947568835757967,0.000756,0.008386,-0.00763,0.09,196.0,1.0,1.6353,1.0,in_place,196
mdm,014347,20554609,0.007833883372829278,0.000808,0.008344,-0.007536,0.097,196.0,1.0,1.6271,1.0,in_place,196
mdm,014347,20554610,0.007849263476054646,0.001167,0.008337,-0.00717,0.14,196.0,1.0,1.6257,1.0,in_place,196
mdm,014395,20555608,0.0060122951765408566,0.005915,0.008545,-0.002629,0.692,67.0,0.9306,0.9143,0.9998,in_place,108
mdm,014395,20555609,0.0069792387058168785,0.004635,0.008305,-0.00367,0.558,71.33,0.9907,0.8886,0.9999,in_place,108
mdm,014395,20555610,0.009304333986773557,0.003258,0.008309,-0.005051,0.392,108.0,1.0,0.8891,1.0,in_place,108
mdm,014416,20556608,0.007947272942974246,0.003312,0.008348,-0.005036,0.397,196.0,1.0,1.6278,0.9998,in_place,196
mdm,014416,20556609,0.007665460428029717,0.001756,0.008347,-0.006591,0.21,196.0,1.0,1.6276,1.0,in_place,196
mdm,014416,20556610,0.00786396900324991,0.003244,0.008351,-0.005107,0.388,196.0,1.0,1.6284,0.9998,in_place,196
mdm,014506,20557608,0.008328756084013197,0.049003,0.009785,0.039218,5.008,7.57,0.276,0.9296,0.9999,locomotion,96
mdm,014506,20557609,0.029553111124902016,0.061245,0.010519,0.050726,5.822,8.88,0.7396,0.9993,0.9997,locomotion,96
mdm,014506,20557610,0.0028286344243451363,0.011287,0.008886,0.002401,1.27,41.5,0.4323,0.8441,0.9998,locomotion,96
mdm,014565,20558608,0.01581729802310686,0.034719,0.009607,0.025112,3.614,16.44,0.74,0.9511,0.9966,locomotion,100
mdm,014565,20558609,0.021360280142447535,0.046628,0.009839,0.036789,4.739,12.17,0.73,0.974,0.9963,locomotion,100
mdm,014565,20558610,0.019303857863941416,0.044285,0.009978,0.034307,4.438,12.36,0.68,0.9878,0.9965,locomotion,100
mdm,014574,20559608,0.024663997931805966,0.046297,0.010308,0.035989,4.491,10.73,0.7454,1.103,0.9997,locomotion,108
mdm,014574,20559609,0.0056808458383963405,0.019778,0.009567,0.01021,2.067,17.4,0.4028,1.0237,0.9998,locomotion,108
mdm,014574,20559610,0.0178059760533983,0.043118,0.009917,0.033201,4.348,10.19,0.7546,1.0611,0.9997,locomotion,108
motiongpt,000021,20260608,0.007793836567140378,0.060289,0.062875,-0.002586,0.959,8.46,0.625,11.0031,0.1935,locomotion,176
motiongpt,000021,20260609,0.009081666989502067,0.073717,0.076538,-0.002822,0.963,6.53,0.5938,13.3942,0.0743,locomotion,176
motiongpt,000021,20260610,0.008715986741615837,0.052322,0.047227,0.005095,1.108,10.19,0.7528,8.2648,0.1549,locomotion,176
motiongpt,000067,20261608,0.006041457596144886,0.03597,0.041416,-0.005447,0.868,16.6,0.7411,4.5972,0.9844,locomotion,112
motiongpt,000067,20261609,0.0009326544634029414,0.009356,0.032512,-0.023156,0.288,29.5,0.3073,3.0886,0.9832,locomotion,96
motiongpt,000067,20261610,0.008357878168692398,0.029885,0.028266,0.001618,1.057,25.0,0.8333,3.3637,0.7815,locomotion,120
motiongpt,000073,20262608,0.009248598008072555,0.075138,0.081823,-0.006685,0.918,6.71,0.5481,8.4277,0.3631,locomotion,104
